1:104928,465,465,888,2245,
2:5161,286,236,956,104547,
3:222,1172,735,486,525,
4:2011,1214,950,1507,2196,
5:1603,241,103,583,147,
6:314,4410,2019,709,971,
7:1422,1268,1187,749,112,
8:654,794,120,251,168,
9:1686,247,69,144,625,
10:275,2165,55,188,377,
11:1832,87,924,169,347,
12:2094,948,461,212,418,
13:417,1363,454,448,1928,
14:624,1548,2030,1083,886,
15:98,1716,193,2069,172,
20:2443,893,206,985,212,
25:549,1241,10563,3296,1138,
30:2701,129,4210,5489,1079,
40:2928,7053,22165,5609,16199,
50:36092,5184,11290,9171,76903,
100:120182,35343,16186,58631,83064,
200:126395,131451,131695,1829,123813,
