1:1475,500,621,2628,218,3172,200,658,591,2420,
2:193,455,382,145,315,344,312,392,717,587,
3:278,121,248,87,1475,297,477,48,174,67,
4:808,92,375,84,76,359,179,139,545,107,
5:139,130,104,119,392,56,54,96,226,75,
6:337,273,110,218,76,192,132,438,79,84,
7:66,109,125,139,104,90,66,128,120,113,
8:169,117,65,356,132,104,139,422,168,165,
9:51,90,73,77,339,97,103,42,52,54,
10:258,107,136,405,52,56,92,54,120,123,
11:247,91,65,189,109,56,131,128,158,162,
12:90,89,66,57,52,74,58,71,307,122,
13:47,81,68,72,73,131,70,111,148,197,
14:113,109,123,82,46,207,83,142,64,104,
15:219,79,65,103,125,115,91,144,40,357,
20:102,58,80,148,119,115,218,124,125,205,
25:116,108,144,42,99,69,115,59,143,273,
30:72,192,211,236,116,361,38,54,162,115,
40:87,365,632,402,303,271,383,281,416,69,
50:55,202,159,157,197,51,590,536,677,136,
100:721,649,106,167,835,1068,955,617,185,61,
200:171,434,1142,190,189,203,1068,362,43,633,
